0.6	0.1	1.78E-09	4.97E-10
0.7	0.1	2.05E-09	6.18E-10
0.8	0.1	4.27E-09	8.88E-10
0.85	0.1	3.60E-09	6.13E-10
0.9	0.1	5.31E-09	7.03E-10
1	0.1	6.11E-09	1.14E-09
1.1	0.1	8.34E-09	2.42E-09
1.2	0.1	1.11E-08	2.48E-09
1.3	0.1	1.12E-08	2.95E-09
1.4	0.1	1.85E-08	3.79E-09
1.5	0.1	2.19E-08	4.83E-09
1.6	0.1	1.91E-08	4.20E-09
1.7	0.1	1.91E-08	4.66E-09
1.8	0.1	2.73E-08	8.22E-09
1.9	0.1	2.61E-08	3.41E-09
2	0.1	2.38E-08	7.15E-09
2.1	0.1	4.10E-08	1.45E-08
2.2	0.1	2.74E-08	7.20E-09
2.3	0.1	2.66E-08	7.40E-09
2.4	0.1	2.83E-08	8.56E-09
2.5	0.1	5.35E-08	2.30E-08
2.6	0.1	4.18E-08	1.52E-08
2.61	0.1	6.87E-08	1.60E-08
2.62	0.1	8.54E-08	1.13E-08
2.63	0.1	1.30E-07	2.21E-08
2.64	0.1	1.78E-07	2.08E-08
2.65	0.1	2.39E-07	2.33E-08
2.66	0.1	2.83E-07	6.24E-08
2.66	0.1	3.31E-07	5.20E-08
2.67	0.1	2.50E-07	2.58E-08
2.68	0.1	1.78E-07	2.32E-08
2.69	0.1	1.24E-07	2.11E-08
2.7	0.1	8.54E-08	1.13E-08
2.75	0.1	6.26E-08	1.23E-08
2.8	0.1	4.96E-08	1.60E-08
2.9	0.1	4.12E-08	1.24E-08
3	0.1	3.02E-08	9.75E-09
3.1	0.1	4.89E-08	1.08E-08
0.3	90	1.07E-09	8.63E-11
0.4	90	4.53E-09	3.66E-10
0.5	90	1.26E-08	7.61E-10
0.6	90	2.71E-08	1.73E-09
0.7	90	4.38E-08	2.81E-09
0.75	90	5.53E-08	2.64E-09
0.8	90	6.77E-08	3.23E-09
0.85	90	8.03E-08	5.15E-09
0.9	90	9.53E-08	4.54E-09
1	90	1.20E-07	9.72E-09
1.1	90	1.47E-07	1.19E-08
1.2	90	2.01E-07	1.29E-08
1.3	90	2.35E-07	1.12E-08
1.4	90	2.83E-07	1.71E-08
1.5	90	3.16E-07	1.51E-08
1.6	90	3.64E-07	2.19E-08
1.7	90	3.69E-07	1.76E-08
1.8	90	4.38E-07	2.00E-08
1.9	90	4.60E-07	2.19E-08
2	90	4.89E-07	2.23E-08
2.1	90	5.05E-07	1.54E-08
2.2	90	5.29E-07	2.52E-08
2.25	90	5.72E-07	2.60E-08
2.3	90	5.81E-07	2.65E-08
2.4	90	5.91E-07	2.82E-08
2.5	90	6.19E-07	2.82E-08
2.6	90	6.10E-07	2.78E-08
2.62	90	6.49E-07	3.09E-08
2.63	90	7.12E-07	3.24E-08
2.64	90	7.70E-07	4.93E-08
2.65	90	7.13E-07	4.29E-08
2.66	90	5.82E-07	4.35E-08
2.67	90	4.83E-07	2.31E-08
2.68	90	3.95E-07	2.53E-08
2.69	90	4.47E-07	3.98E-08
2.7	90	4.61E-07	2.20E-08
2.75	90	6.01E-07	2.74E-08
2.8	90	6.40E-07	3.05E-08
2.9	90	6.92E-07	3.30E-08
3	90	7.03E-07	3.20E-08
3.1	90	7.03E-07	3.35E-08

